recording,baseline_speed_slope,corrected_speed_slope,zero_lag_correlation_before,zero_lag_correlation_after,best_lag_speed_s,best_correlation_after
S1,0.23034567652304186,0.8292444354829507,0.8097352578540495,0.8097352578540495,-4.1000000000000005,0.9270736152452407
S2,0.2605630518695958,0.9380269867305453,0.9191297219803699,0.9191297219803679,3.1,0.9604808434726352
S3A,0.21391293142027137,0.7700865531129772,0.7401525579434253,0.7401525579434254,-11.200000000000001,0.9671551238276679
S4,0.2644718296275527,0.95209858665919,0.9430202734066653,0.9430202734066657,-2.6,0.9752030869619057
M,0.25054029745758866,0.9019450708473195,0.8882628384992579,0.888262838499258,-3.2,0.9524894527910485
Y1,0.2629002603881113,0.9464409373972007,0.9246027612689018,0.9246027612689021,1.2000000000000002,0.9400174088903627
VTA1A,0.18831475820081628,0.6779331295229385,0.6442498913673419,0.6442498913673416,-14.4,0.9966363866739505
VTA2,0.2798130340867579,1.0073269227123283,0.9951547831658338,0.9951547831658333,0.30000000000000004,0.9965487603673513
