recording,zero_lag_gyro_r,zero_lag_gyro_slope,best_lag_gyro_s,best_corr_gyro_r,best_slope_gyro,zero_lag_speed_r,best_lag_speed_s,best_corr_speed_r,accel_ax_corr,accel_ay_corr
S1,0.9321599474490656,0.9775962786825894,0.2,0.9481316464462559,0.9964555433228828,0.8097352578540504,-4.1000000000000005,0.9270736152452407,0.20872214689365,-0.23338087697074963
S2,0.01070753054784187,0.01078305073684029,7.6000000000000005,0.9272387303719921,0.9954741135247891,0.9191297219803694,3.1,0.9604808434726352,0.29901015007174364,0.016239330450827778
S3A,0.2055260308774935,0.2110150719246137,-6.7,0.9719750441086117,1.0080824770381065,0.7401525579434253,-11.200000000000001,0.9671551238276679,0.34087748228613324,-0.2082171671530399
S4,0.5498903017187526,0.5802727057835669,1.8,0.9140234513937686,1.000695730636529,0.9430202734066652,-2.6,0.9752030869619057,0.17891427358030823,-0.14366173797275436
M,0.7984454154594077,0.8798567585863286,0.9,0.900737083774787,1.002786530861926,0.888262838499258,-3.2,0.9524894527910485,0.3720306530400553,-0.21839455192793286
Y1,0.03403187896826073,0.04005805311526137,6.6000000000000005,0.8132951695976773,0.9873069071728434,0.9246027612689027,1.2000000000000002,0.9400174088903627,-0.006273031734610778,-0.0696294482275618
VTA1A,-0.014695929922998717,-0.06411632696395433,-13.8,0.22893113040341356,1.0370168589234463,0.6442498913673417,-14.4,0.9966363866739505,0.21902841188366004,-0.1069198677516679
VTA2,0.22660004507519732,0.806862204537586,0.8,0.2679107299551053,1.0031900643710219,0.9951547831658337,0.30000000000000004,0.9965487603673513,0.3018111539253962,-0.03862514020647415
