experiment_id,description,samples,duration_s,horiz_rmse_m,first_60s_rmse_m,final_horiz_err_m,max_horiz_err_m,along_track_rmse_m,cross_track_rmse_m,vel_rmse_mps,heading_rmse_deg,time_to_50m_s,time_to_100m_s,total_gnss_attempts,duplicates_gated,novel_gnss_fixes,fixes_accepted,outliers_rejected,acceptance_rate_pct,min_eigenvalue,v0_vector,v0_norm,sigma_v
Baseline,"Original S1 configuration (v0_base, sigma_v=2.0 m/s)",50185,5018.4,7109215.07467129,2767.523186807089,16397038.93096296,16397038.93096296,5038363.518111738,5015558.995495341,31831.581517915416,102.40227993251598,4.800000000000011,14.099999999999994,50185,49665,520,4,516,0.7692307692307693,2.1829617541329224e-06,"[-2.284077606790203, 2.4048424613552792, 0.0]",3.316666666666667,2.0
E1_A,"Velocity estimate only (v0_disp, sigma_v=2.0 m/s)",50185,5018.4,7573918.534450466,1699.705448232302,14285522.413188357,14285522.413188357,5560636.328540735,5142330.7544541815,27960.58337134945,102.53096138852227,8.400000000000006,16.400000000000006,50185,49665,520,4,516,0.7692307692307693,2.1650135430363904e-06,"[-9.41311418830642, 10.300880475600845, 0.0]",13.954026562061228,2.0
E1_B,"Covariance only (v0_base, sigma_v=6.0 m/s)",50185,5018.4,2195778.6627017674,1702.2071474341592,5034590.665487669,5034590.665487669,1455944.6398607346,1643675.497547237,16789.180949909147,101.22966265241331,4.800000000000011,14.300000000000011,50185,49665,520,6,514,1.153846153846154,2.131353927063958e-06,"[-2.284077606790203, 2.4048424613552792, 0.0]",3.316666666666667,6.0
E1_B_sigma_4,"Covariance sensitivity sweep (v0_base, sigma_v=4.0 m/s)",50185,5018.4,10878719.336840738,2646.643960474003,22640553.150638476,22640553.150638476,7747385.577639985,7637051.2058731485,29177.279827108934,102.15879408779331,4.800000000000011,14.300000000000011,50185,49665,520,3,517,0.576923076923077,2.1834917289973296e-06,"[-2.284077606790203, 2.4048424613552792, 0.0]",3.316666666666667,4.0
E1_B_sigma_8,"Covariance sensitivity sweep (v0_base, sigma_v=8.0 m/s)",50185,5018.4,8080139.932909308,1692.2998263990494,15406049.635762142,15406049.635762142,5827084.086771932,5597655.972019445,27330.442547635812,103.50404321229583,4.800000000000011,14.300000000000011,50185,49665,520,4,516,0.7692307692307693,2.137749156570119e-06,"[-2.284077606790203, 2.4048424613552792, 0.0]",3.316666666666667,8.0
E1_C,"Combined (v0_disp, sigma_v=6.0 m/s)",50185,5018.4,6451566.537000364,1686.8587175944365,11782782.217055436,11782782.217055436,4816789.207127889,4291998.662096618,28669.591867691917,101.55408978373327,8.400000000000006,15.0,50185,49665,520,4,516,0.7692307692307693,2.1610413009640824e-06,"[-9.41311418830642, 10.300880475600845, 0.0]",13.954026562061228,6.0
