Mode,Initial_Speed_mps,60s_RMSE_m,60s_Max_m,60s_Final_m,51Fix_RMSE_m,Accepted_Fixes,Time_to_50m_s,Time_to_100m_s
Mode A — Baseline (Uncalibrated),11.94,1761.109815737038,5188.0945124968,5188.0945124968,66109.63503279215,4/51 (7.8%),164.8,171.5
Mode B — Corrected Calibration + Existing Velocity,11.94,48.83493611545937,178.28433369961635,16.26119383450995,113120.71598110684,13/51 (25.5%),173.4,204.2
Mode C — Corrected Calibration + Displacement Velocity,13.954026562061228,50.3453300295786,180.0947055116413,16.353566641011906,111558.22749859473,13/51 (25.5%),179.8,203.8
Mode D — Oracle Diagnostic Reference,11.94,48.3342015491626,170.90515584972138,15.495126470641589,41.493924310815046,51/51 (100.0%),164.7,182.8
